ds,yhat,yhat_lower,yhat_upper
2023-09-01,103839904.31968382,103839876.6923039,103839932.4949034
2023-10-01,236140510.99607223,236140480.47933868,236140540.04651266
2023-10-02,240550531.2186185,240550503.6288594,240550559.68677127
2023-10-03,244960551.4411648,244960522.93919116,244960577.96946853
2023-10-04,249370571.6637111,249370543.43130842,249370600.74354532
2023-10-05,253780591.88625735,253780562.3394627,253780620.50862807
2023-10-06,258190612.10880366,258190583.27722177,258190640.09120542
2023-10-07,262600632.3313499,262600605.46017075,262600661.8004692
2023-10-08,267010652.5538962,267010624.20800915,267010681.02668777
2023-10-09,271420672.7764425,271420642.7298935,271420701.2383335
2023-10-10,275830692.99898875,275830662.702021,275830722.4703752
2023-10-11,280240713.221535,280240684.3418716,280240741.72485614
2023-10-12,284650733.4440813,284650703.7409862,284650761.3131199
2023-10-13,289060753.66662765,289060722.90976435,289060782.6460128
2023-10-14,293470773.88917387,293470744.03411925,293470801.9992142
2023-10-15,297880794.11172014,297880764.1098223,297880821.0669475
2023-10-16,302290814.3342664,302290786.3651613,302290843.7140823
2023-10-17,306700834.55681276,306700806.01162,306700863.1965206
2023-10-18,311110854.779359,311110826.0581762,311110885.0571009
2023-10-19,315520875.0019053,315520848.1095348,315520902.5438717
2023-10-20,319930895.22445154,319930866.67168164,319930924.93785053
2023-10-21,324340915.4469978,324340886.3661191,324340942.4386175
2023-10-22,328750935.6695441,328750907.2068029,328750964.4205975
2023-10-23,333160955.89209044,333160927.42544687,333160982.49129194
2023-10-24,337570976.11463666,337570948.20708835,337571004.8120069
2023-10-25,341980996.337183,341980966.97663826,341981023.92878324
2023-10-26,346391016.55972934,346390987.8582315,346391044.9408545
2023-10-27,350801036.78227556,350801006.4694855,350801066.9787018
2023-10-28,355211057.00482184,355211028.7535689,355211085.92733675
2023-10-29,359621077.2273681,359621048.2315217,359621106.68145794
2023-10-30,364031097.44991434,364031069.35959786,364031127.31216186
2023-10-31,368441117.6724607,368441087.61851454,368441145.6000553
