train_code,avg_volume,cluster
NS18,20486.48076923077,0
BP13,1571.578947368421,0
DT28,15721.28125,0
EW27,75713.73076923077,1
DT18,21524.383333333335,0
NE6,47870.65517241379,2
CC1,47870.65517241379,2
CC11,27365.428571428572,2
TE9,9234.068965517241,0
NE16,66155.03448275862,1
EW29,23325.48275862069,2
PW5,4680.053571428572,0
DT3,10685.189655172413,0
EW16,42023.91379310345,2
DT10,10644.964285714286,0
NS2,42138.166666666664,2
CC28,6012.037037037037,0
NE4,69964.29629629629,1
NS12,22154.227272727272,0
NS22,93129.13793103448,1
DT11,80306.0,1
NE11,18594.02,0
EW15,54300.32142857143,2
SW3,3442.742424242424,0
PE4,2553.2321428571427,0
NS16,68003.640625,1
EW9,34272.03703703704,2
CE1,52124.267857142855,2
CG1,20404.844827586207,0
PE6,9722.462962962964,0
NS4,57149.53125,1
CC9,71840.01612903226,1
TE3,12948.35,0
PW3,2066.983333333333,0
DT6,11302.870967741936,0
CC14,11660.0,0
TE12,5616.5,0
CC16,12093.134615384615,0
DT17,24773.5625,2
CC24,31896.5,2
NS13,78193.58064516129,1
BP11,4890.283333333334,0
SE2,7977.234375,0
BP2,4313.9655172413795,0
EW28,44441.40740740741,2
DT20,8862.844827586207,0
SE3,4518.375,0
EW8,71840.01612903226,1
EW30,6627.392857142857,0
EW23,63970.83928571428,1
EW13,73387.33870967742,1
SW2,6202.42,0
PE5,7776.948275862069,0
TE7,8165.616666666667,0
CC7,10278.285714285714,0
NE13,32976.84482758621,2
PE2,7401.892857142857,0
NE5,19640.145161290322,0
CC4,32244.87037037037,2
NE3,42023.91379310345,2
TE14,93129.13793103448,1
PTC,65636.53448275862,1
NS1,97544.70967741935,1
CC29,73154.9074074074,1
TE17,42023.91379310345,2
NS7,36775.92592592593,2
NS23,47418.38333333333,2
CC13,83264.62903225806,1
TE16,8524.444444444445,0
DT8,6823.216666666666,0
NS20,55684.851851851854,1
PW7,3982.8709677419356,0
EW6,17954.6935483871,0
SW1,3728.574074074074,0
EW2,78934.42592592593,1
TE19,9476.083333333334,0
NS27,8296.133333333333,0
EW33,6240.25,0
TE15,10240.185185185184,0
DT22,14428.232142857143,0
SW4,3211.9464285714284,0
BP12,3870.5,0
NE14,45596.59259259259,2
EW4,23772.8,2
CC10,23396.396551724138,2
NS28,3289.5666666666666,0
NS3,27998.25,2
EW25,15332.21875,0
SW7,3580.4166666666665,0
TE20,8296.133333333333,0
NE12,83264.62903225806,1
TE2,84289.046875,1
CC8,13409.758064516129,0
DT15,32244.87037037037,2
EW26,49504.06896551724,2
NS17,64107.57142857143,1
SW8,3012.2833333333333,0
CE2,8296.133333333333,0
DT23,6162.625,0
NE8,43505.69642857143,2
CC22,40346.583333333336,2
NE17,65636.53448275862,1
NS11,59910.3275862069,1
DT9,10918.346153846154,0
NS21,80306.0,1
EW32,8658.0,0
DT13,16037.120689655172,0
EW21,40346.583333333336,2
SE4,5222.783333333334,0
NE7,40207.18518518518,2
TE1,8200.413793103447,0
DT1,61010.68518518518,1
DT5,20659.365384615383,0
CC2,8782.258064516129,0
SE5,4133.362068965517,0
DT7,7157.851851851852,0
NE10,24548.94230769231,2
DT26,23396.396551724138,2
EW20,17269.166666666668,0
EW7,23059.51724137931,2
NE1,73154.9074074074,1
CC21,12271.291666666666,0
NS25,73387.33870967742,1
EW1,42167.66071428572,2
DT27,12514.464285714286,0
BP10,5026.583333333333,0
DT29,11274.035714285714,0
NS10,63851.08,1
BP9,3125.891304347826,0
PE1,5498.241379310345,0
BP7,1448.107142857143,0
DT16,52124.267857142855,2
CC15,64107.57142857143,1
EW11,28862.865384615383,2
DT2,3834.4166666666665,0
BP3,6175.419354838709,0
DT14,82759.73214285714,1
EW31,6717.5161290322585,0
NS8,29282.714285714286,2
SE1,6284.75,0
PW4,7326.083333333333,0
BP1,57149.53125,1
DT32,78934.42592592593,1
EW17,37378.793103448275,2
EW5,47088.57142857143,2
CC19,10918.346153846154,0
DT25,6668.216666666666,0
DT35,20404.844827586207,0
STC,66155.03448275862,1
CC6,14019.277777777777,0
EW19,27553.7,2
SW5,11951.907407407407,0
TE8,13619.793103448275,0
TE4,6204.045454545455,0
DT33,23999.09677419355,2
PW6,2206.8166666666666,0
BP8,2632.535714285714,0
TE5,5674.661764705882,0
EW24,97544.70967741935,1
CC20,7660.40625,0
BP5,2938.1186440677966,0
DT31,13062.75,0
NE9,33087.77419354839,2
BP6,61010.68518518518,1
SW6,5254.224137931034,0
TE6,13404.774193548386,0
CC3,11458.673076923076,0
DT21,11981.089285714286,0
EW18,24390.446428571428,2
NS9,84289.046875,1
CC26,8743.607142857143,0
CC27,9181.483333333334,0
PW1,2570.1833333333334,0
CC23,19645.466666666667,0
NS19,51057.625,2
DT12,40207.18518518518,2
CG2,28942.048387096773,2
TE13,4770.0344827586205,0
NS26,68124.21875,1
NE15,27688.741379310344,2
TE18,10137.222222222223,0
EW14,68124.21875,1
NS5,44856.8125,2
CC5,7641.310344827586,0
PE7,7057.785714285715,0
DT19,69964.29629629629,1
TE22,4746.615384615385,0
CC17,9234.068965517241,0
BP4,4437.839285714285,0
DT24,8420.25925925926,0
NS15,32741.78846153846,2
EW12,82759.73214285714,1
CC25,11216.25,0
EW10,17644.821428571428,0
NS14,47426.857142857145,2
EW3,26526.46153846154,2
TE11,10644.964285714286,0
CC12,10574.666666666666,0
DT30,11509.362068965518,0
EW22,14534.69642857143,0
NS24,47870.65517241379,2
DT34,7352.696428571428,0
PE3,8949.875,0
