train_code,hour,avg_volume
NS1,18,263262.0
EW24,18,263262.0
NS26,18,215372.5
EW14,18,215372.5
NS1,17,197860.0
EW24,17,197860.0
DT11,18,187388.0
NS21,18,187388.0
TE14,18,186460.25
NS22,18,186460.25
EW14,8,184029.75
NS26,8,184029.75
DT32,18,182781.0
EW2,18,182781.0
NE12,18,182460.75
CC13,18,182460.75
EW12,18,178040.0
DT14,18,178040.0
TE2,18,177964.25
NS9,18,177964.25
NS13,18,172284.5
EW27,18,169999.0
EW8,18,168178.5
CC9,18,168178.5
EW24,19,167485.0
NS1,19,167485.0
NE1,18,158954.75
CC29,18,158954.75
NS25,18,158618.5
EW13,18,158618.5
EW14,9,157439.5
NS26,9,157439.5
NS22,17,156141.5
TE14,17,156141.5
EW23,18,154040.5
NE4,18,152241.0
DT19,18,152241.0
EW15,18,148730.25
NS1,7,148605.5
EW24,7,148605.5
NS21,8,147356.5
DT11,8,147356.5
EW24,8,142400.0
NS1,8,142400.0
NS13,7,139651.5
NE12,19,139376.5
CC13,19,139376.5
EW27,17,138648.5
NS16,18,138534.5
NS9,19,137418.5
TE2,19,137418.5
NS10,7,136371.0
EW12,17,135786.0
DT14,17,135786.0
NE16,18,135508.5
STC,18,135508.5
NS9,7,134429.75
TE2,7,134429.75
DT11,17,133980.0
NS21,17,133980.0
CC13,17,133034.5
NE12,17,133034.5
EW15,8,132639.0
EW27,7,132280.75
NS22,19,131993.5
TE14,19,131993.5
DT32,19,130677.5
EW2,19,130677.5
NS9,17,130362.0
TE2,17,130362.0
TE14,16,130122.5
NS22,16,130122.5
TE14,13,127799.0
NS22,13,127799.0
NS13,19,127597.0
DT32,17,125703.5
EW2,17,125703.5
TE14,15,125445.5
NS22,15,125445.5
CC15,18,125306.5
NS17,18,125306.5
NS9,8,125109.0
TE2,8,125109.0
BP1,18,123679.0
NS4,18,123679.0
NS13,17,123563.5
TE14,12,122800.5
NS22,12,122800.5
CC13,8,122640.75
NE12,8,122640.75
CC9,17,122434.5
EW8,17,122434.5
DT14,19,122269.5
EW12,19,122269.5
EW23,7,121940.5
EW23,8,121604.0
NS1,20,121362.5
EW24,20,121362.5
NS21,19,121120.5
DT11,19,121120.5
PTC,18,120977.5
NE17,18,120977.5
NE1,17,120760.0
CC29,17,120760.0
NS13,8,120709.5
DT1,18,120589.25
BP6,18,120589.25
NS11,18,120554.0
NS11,7,120363.0
EW27,19,119227.5
EW2,8,119202.5
DT32,8,119202.5
EW13,17,118849.75
NS25,17,118849.75
EW23,17,118623.5
BP6,8,118597.5
DT1,8,118597.5
NS22,14,118557.0
TE14,14,118557.0
EW24,16,118068.0
NS1,16,118068.0
EW8,19,117635.0
CC9,19,117635.0
NS19,18,117497.0
NE4,17,117382.75
DT19,17,117382.75
NE4,19,117051.5
DT19,19,117051.5
EW14,17,116915.75
NS26,17,116915.75
EW26,7,116167.5
NS10,18,115678.5
NS23,18,112692.5
DT1,7,112643.25
BP6,7,112643.25
NS16,8,109048.5
NE4,13,108899.5
DT19,13,108899.5
TE14,11,108846.5
NS22,11,108846.5
CC29,19,108541.0
NE1,19,108541.0
EW27,8,108123.75
NE16,19,108100.75
STC,19,108100.75
NS21,9,107472.0
DT11,9,107472.0
EW5,18,107410.0
EW12,16,107343.0
DT14,16,107343.0
NE4,12,107221.0
DT19,12,107221.0
NS24,18,106970.5
NE6,18,106970.5
CC1,18,106970.5
DT14,13,106587.5
EW12,13,106587.5
EW13,19,106461.0
NS25,19,106461.0
NS16,7,105254.25
DT32,7,104959.0
EW2,7,104959.0
NS26,19,104884.5
EW14,19,104884.5
NS20,18,104381.0
BP1,7,103681.0
NS4,7,103681.0
NS22,9,103300.0
TE14,9,103300.0
NS20,8,103199.0
NS16,19,103104.0
EW23,19,102615.0
NE17,19,102271.25
PTC,19,102271.25
NS10,8,101848.0
DT14,14,101592.0
EW12,14,101592.0
NE12,7,101418.25
CC13,7,101418.25
DT14,15,101337.5
EW12,15,101337.5
NS16,17,101161.5
EW24,15,100951.5
NS1,15,100951.5
NS1,13,100617.25
EW24,13,100617.25
DT14,12,100533.5
EW12,12,100533.5
NS22,20,99079.25
TE14,20,99079.25
EW15,9,98911.5
NE12,13,98683.5
CC13,13,98683.5
EW24,21,98635.75
NS1,21,98635.75
EW26,18,98360.5
NS22,10,98060.0
TE14,10,98060.0
TE14,21,97490.5
NS22,21,97490.5
NS14,18,97064.0
STC,17,96984.5
NE16,17,96984.5
EW24,14,96663.5
NS1,14,96663.5
EW28,7,96661.5
NE12,16,96649.75
CC13,16,96649.75
NS19,8,96448.5
NS5,7,95981.0
DT1,19,95881.0
BP6,19,95881.0
NE8,18,95765.5
EW24,12,95543.75
NS1,12,95543.75
NE4,14,95239.0
DT19,14,95239.0
DT19,16,95218.5
NE4,16,95218.5
CC22,18,95135.25
EW21,18,95135.25
NS14,7,95134.5
NS21,13,95047.5
DT11,13,95047.5
NE12,20,94653.0
CC13,20,94653.0
NE3,18,94581.0
EW16,18,94581.0
TE17,18,94581.0
NS17,8,94572.5
CC15,8,94572.5
NS20,17,94459.0
TE14,8,94373.75
NS22,8,94373.75
TE2,16,94071.0
NS9,16,94071.0
NS2,18,94015.5
NE16,8,93894.5
STC,8,93894.5
NS17,17,93596.5
CC15,17,93596.5
PTC,8,93488.0
NE17,8,93488.0
NS21,16,93457.75
DT11,16,93457.75
TE2,20,93034.75
NS9,20,93034.75
NE14,18,92478.0
NS11,8,92294.0
DT12,18,92121.0
NE7,18,92121.0
CC9,8,91721.75
EW8,8,91721.75
NS11,19,91665.5
NE4,15,91337.0
DT19,15,91337.0
DT14,20,90924.5
EW12,20,90924.5
NE3,8,90760.5
