train_volume_id,train_volume_year_month,train_volume_day,train_volume_hour,train_code,train_volume_tap_in,train_volume_tap_out
64,2023-09-01,WEEKENDS/HOLIDAY,6,CC23,170,1283
65,2023-09-01,WEEKDAY,6,CC23,873,13669
66,2023-09-01,WEEKDAY,14,SE2,3841,5439
67,2023-09-01,WEEKENDS/HOLIDAY,14,SE2,2776,2805
68,2023-09-01,WEEKDAY,23,NS18,1865,9572
69,2023-09-01,WEEKENDS/HOLIDAY,23,NS18,1014,5431
70,2023-09-01,WEEKENDS/HOLIDAY,15,EW14,13553,12703
71,2023-09-01,WEEKENDS/HOLIDAY,15,NS26,13553,12703
72,2023-09-01,WEEKDAY,15,EW14,47163,29190
73,2023-09-01,WEEKDAY,15,NS26,47163,29190
74,2023-09-01,WEEKDAY,7,PW4,14403,2178
75,2023-09-01,WEEKENDS/HOLIDAY,7,PW4,1698,593
76,2023-09-01,WEEKENDS/HOLIDAY,9,BP12,1682,677
77,2023-09-01,WEEKDAY,9,BP12,4223,1210
78,2023-09-01,WEEKDAY,15,EW15,31419,19557
79,2023-09-01,WEEKENDS/HOLIDAY,15,EW15,14682,10599
80,2023-09-01,WEEKENDS/HOLIDAY,23,DT2,82,560
81,2023-09-01,WEEKDAY,23,DT2,112,1131
82,2023-09-01,WEEKDAY,16,BP3,3031,4277
83,2023-09-01,WEEKENDS/HOLIDAY,16,BP3,2117,2093
84,2023-09-01,WEEKENDS/HOLIDAY,15,SW8,895,891
85,2023-09-01,WEEKDAY,15,SW8,2010,2233
86,2023-09-01,WEEKENDS/HOLIDAY,17,DT10,4689,3777
87,2023-09-01,WEEKENDS/HOLIDAY,17,TE11,4689,3777
88,2023-09-01,WEEKDAY,17,DT10,11397,10571
89,2023-09-01,WEEKDAY,17,TE11,11397,10571
90,2023-09-01,WEEKENDS/HOLIDAY,22,PW5,411,2766
91,2023-09-01,WEEKDAY,22,PW5,515,3580
92,2023-09-01,WEEKENDS/HOLIDAY,6,NE15,4225,1220
93,2023-09-01,WEEKDAY,6,NE15,30060,5295
94,2023-09-01,WEEKENDS/HOLIDAY,0,TE6,21,845
95,2023-09-01,WEEKDAY,0,TE6,67,1102
96,2023-09-01,WEEKDAY,21,NE16,25893,52536
97,2023-09-01,WEEKDAY,21,STC,25893,52536
98,2023-09-01,WEEKENDS/HOLIDAY,21,NE16,13185,23666
99,2023-09-01,WEEKENDS/HOLIDAY,21,STC,13185,23666
100,2023-09-01,WEEKDAY,10,EW31,1166,1145
101,2023-09-01,WEEKENDS/HOLIDAY,10,EW31,1186,397
102,2023-09-01,WEEKENDS/HOLIDAY,9,NS12,9382,4317
103,2023-09-01,WEEKDAY,9,NS12,20508,7725
104,2023-09-01,WEEKDAY,19,PE1,2979,9110
105,2023-09-01,WEEKENDS/HOLIDAY,19,PE1,1458,2651
106,2023-09-01,WEEKDAY,20,DT23,4749,3140
107,2023-09-01,WEEKENDS/HOLIDAY,20,DT23,1485,1249
